1: Homo_sapiens
635: Bacillus_licheniformis
636: Bacillus_ligniniphilus
637: Bacillus_litoralis
638: Bacillus_lonarensis
639: Bacillus_manliponensis
640: Bacillus_mannanilyticus
641: Bacillus_marisflavi
642: Bacillus_massilioanorexius
643: Bacillus_massiliogorillae
644: Bacillus_massiliosenegalensis
645: Bacillus_megaterium
646: Bacillus_mesonae
647: Bacillus_methanolicus
648: Bacillus_mycoides
649: Bacillus_ndiopicus
650: Bacillus_niacini
651: Bacillus_niameyensis
652: Bacillus_novalis
653: Bacillus_oceanisediminis
654: Bacillus_okuhidensis
655: Bacillus_oryziterrae
656: Bacillus_panaciterrae
657: Bacillus_patagoniensis
658: Bacillus_persicus
659: Bacillus_plakortidis
660: Bacillus_pseudofirmus
661: Bacillus_pseudomycoides
662: Bacillus_psychrosaccharolyticus
663: Bacillus_pumilus
664: Bacillus_rubiinfantis
665: Bacillus_salsus
666: Bacillus_selenitireducens
667: Bacillus_shacheensis
668: Bacillus_shackletonii
669: Bacillus_simplex
670: Bacillus_sinesaloumensis
671: Bacillus_smithii
672: Bacillus_solani
673: Bacillus_soli
674: Bacillus_solimangrovi
675: Bacillus_sporothermodurans
676: Bacillus_subterraneus
677: Bacillus_subtilis
678: Bacillus_testis
679: Bacillus_thermoamylovorans
680: Bacillus_thuringiensis
681: Bacillus_thuringiensis
682: Bacillus_timonensis
683: Bacillus_trypoxylicola
684: Bacillus_tuaregi
685: Bacillus_vietnamensis
686: Bacillus_vireti
687: Bacillus_wakoensis
688: Bacillus_weihaiensis
689: Bacillus_xerothermodurans
690: bacterium_2013Arg42i
691: bacterium_2013Ark19i
692: bacterium_336/3
693: bacterium_A37T11
694: bacterium_A52C2
695: bacterium_endosymbiont
696: bacterium_JKG1
697: bacterium_LF-3
698: bacterium_MS4
699: bacterium_SIT6
700: Bacteroides_barnesiae
701: Bacteroides_caccae
702: Bacteroides_cellulosilyticus
703: Bacteroides_coprocola
704: Bacteroides_coprophilus
705: Bacteroides_coprosuis
